temperature_K,G1_h,G1_k,G1_l,G1_Qx_invA,G1_Qy_invA,G1_Qz_invA,"zero_phonon_intensity_G(1,0,0)","dw_factor_G(1,0,0)_atom1_Mo","dw_factor_G(1,0,0)_atom2_S","dw_factor_G(1,0,0)_atom3_S",G2_h,G2_k,G2_l,G2_Qx_invA,G2_Qy_invA,G2_Qz_invA,"zero_phonon_intensity_G(1,1,0)","dw_factor_G(1,1,0)_atom1_Mo","dw_factor_G(1,1,0)_atom2_S","dw_factor_G(1,1,0)_atom3_S"
900.0,1.0,0.0,0.0,1.9733210273208233,1.1392974262723508,0.0,27.28107781294651,0.9058869294237958,0.8319183198516069,0.8319183198516069,1.0,1.0,0.0,1.9733210273208233,3.417892278888615,0.0,20.82973902831628,0.7433990135671541,0.5757607617940229,0.5757607617940234
950.0,1.0,0.0,0.0,1.9733210273208233,1.1392974262723508,0.0,26.8523165031911,0.9009497636683756,0.8235210208492384,0.8235210208492386,1.0,1.0,0.0,1.9733210273208233,3.417892278888615,0.0,19.911922642250744,0.7313103621268897,0.5585011449950102,0.5585011449950108
1000.0,1.0,0.0,0.0,1.9733210273208233,1.1392974262723508,0.0,26.431314767686885,0.8960383728238396,0.8152054084563236,0.8152054084563238,1.0,1.0,0.0,1.9733210273208233,3.417892278888615,0.0,19.036124590033573,0.7194155589277759,0.5417527904854971,0.5417527904854981
1050.0,1.0,0.0,0.0,1.9733210273208233,1.1392974262723508,0.0,26.017939867104857,0.8911527888412416,0.8069711517028885,0.8069711517028888,1.0,1.0,0.0,1.9733210273208233,3.417892278888615,0.0,18.200390615310273,0.7077119218969499,0.5255015827613602,0.5255015827613608
1100.0,1.0,0.0,0.0,1.9733210273208233,1.1392974262723508,0.0,25.612057238071703,0.8862930120278342,0.7988178320187077,0.798817832018708,1.0,1.0,0.0,1.9733210273208233,3.417892278888615,0.0,17.402850471771668,0.6961967240600349,0.5097335898953773,0.5097335898953781
1150.0,1.0,0.0,0.0,1.9733210273208233,1.1392974262723508,0.0,25.21353154888056,0.8814590180450264,0.7907449638830536,0.7907449638830538,1.0,1.0,0.0,1.9733210273208233,3.417892278888615,0.0,16.641716655519165,0.6848672137055845,0.4944351115945172,0.4944351115945177
1200.0,1.0,0.0,0.0,1.9733210273208233,1.1392974262723508,0.0,24.822227477587415,0.8766507631699404,0.7827520103482536,0.7827520103482537,1.0,1.0,0.0,1.9733210273208233,3.417892278888615,0.0,15.915282423537402,0.6737206293505206,0.47959271228417377,0.4795927122841745
1250.0,1.0,0.0,0.0,1.9733210273208233,1.1392974262723508,0.0,24.438010289739797,0.8718681883025314,0.7748383948554548,0.774838394855455,1.0,1.0,0.0,1.9733210273208233,3.417892278888615,0.0,15.221919358105911,0.6627542109533735,0.4651932434677782,0.46519324346777874
1300.0,1.0,0.0,0.0,1.9733210273208233,1.1392974262723508,0.0,24.06074626949292,0.867111222053318,0.7670035103300996,0.7670035103300998,1.0,1.0,0.0,1.9733210273208233,3.417892278888615,0.0,14.560074654214503,0.6519652083809926,0.45122385831590156,0.4512238583159021
1350.0,1.0,0.0,0.0,1.9733210273208233,1.1392974262723508,0.0,23.69030304210843,0.8623797831483286,0.7592467262554511,0.7592467262554513,1.0,1.0,0.0,1.9733210273208233,3.417892278888615,0.0,13.928268251760224,0.6413508878388269,0.4376720205706184,0.4376720205706191
1400.0,1.0,0.0,0.0,1.9733210273208233,1.1392974262723508,0.0,23.326549815079613,0.8576737823208033,0.7515673942251633,0.7515673942251635,1.0,1.0,0.0,1.9733210273208233,3.417892278888615,0.0,13.325089896790185,0.630908536773562,0.4245255092581798,0.4245255092581803
1450.0,1.0,0.0,0.0,1.9733210273208233,1.1392974262723508,0.0,22.969357557672787,0.8529931238127684,0.7439648523390218,0.7439648523390221,1.0,1.0,0.0,1.9733210273208233,3.417892278888615,0.0,12.749196190249396,0.6206354676174607,0.4117724202924588,0.4117724202924594
1500.0,1.0,0.0,0.0,1.9733210273208233,1.1392974262723508,0.0,22.618599133437908,0.8483377065769753,0.7364384287098206,0.7364384287098207,1.0,1.0,0.0,1.9733210273208233,3.417892278888615,0.0,12.199307664719576,0.6105290206458726,0.39940116576289025,0.3994011657628906
